               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.027235,           0.0067647,             0.00135,             0.97338,             0.98061,             0.98835,             0.68073,            0.023448,           0.0056568,          0.00069975,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026617,           0.0065511,          0.00092451,             0.96867,              0.9792,             0.98868,             0.70248,            0.023078,           0.0055885,          0.00051524,            0.006337,            0.006337,            0.006337
                  76,            0.026534,           0.0065753,           0.0010591,             0.95424,             0.96288,             0.98289,             0.67131,            0.024923,           0.0061767,          0.00070173,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026063,           0.0065587,          0.00087745,             0.97281,              0.9829,             0.98766,             0.68869,            0.023263,           0.0055867,          0.00050193,            0.006238,            0.006238,            0.006238
                  78,            0.026545,            0.006549,           0.0010367,             0.96565,             0.97461,             0.98211,             0.64969,            0.024659,           0.0059344,          0.00056582,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026137,           0.0063991,           0.0010447,             0.96382,             0.97468,             0.98092,             0.66246,            0.023806,           0.0057065,          0.00060405,            0.006139,            0.006139,            0.006139
                  80,            0.026038,            0.006342,           0.0010227,             0.95891,             0.98307,             0.98659,             0.67264,            0.024003,            0.005961,          0.00057937,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025951,           0.0065115,           0.0010491,              0.9378,             0.89105,             0.96045,             0.60796,             0.02933,           0.0077881,           0.0033573,             0.00604,             0.00604,             0.00604
                  82,            0.025934,           0.0063771,           0.0014732,             0.97646,             0.97516,             0.98499,             0.66351,            0.023189,           0.0056824,          0.00058494,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025864,           0.0065814,            0.001055,             0.96841,             0.98617,             0.98739,             0.68297,            0.023309,           0.0055854,          0.00067379,            0.005941,            0.005941,            0.005941
                  84,            0.025782,           0.0064231,           0.0010048,             0.93972,             0.94064,             0.96711,             0.64027,            0.025703,           0.0065901,          0.00094035,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025712,           0.0062942,          0.00086852,             0.91716,             0.89243,             0.94473,             0.60118,             0.02706,           0.0081952,            0.001855,            0.005842,            0.005842,            0.005842
                  86,            0.025972,           0.0064046,          0.00093263,             0.95756,              0.9379,             0.97156,              0.6489,            0.026359,           0.0066171,           0.0016138,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025722,           0.0064111,          0.00097367,              0.9336,             0.96481,             0.97784,             0.66115,            0.024132,           0.0061952,           0.0006122,            0.005743,            0.005743,            0.005743
                  88,             0.02568,           0.0064587,            0.001098,             0.96234,             0.96193,               0.982,             0.66955,            0.024686,           0.0060181,          0.00066322,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025515,           0.0064349,          0.00087489,             0.97303,              0.9555,              0.9858,             0.67456,            0.023427,           0.0057381,           0.0012622,            0.005644,            0.005644,            0.005644
                  90,            0.025027,           0.0062846,          0.00075362,             0.97178,             0.96821,             0.98201,             0.66551,            0.024117,           0.0061767,          0.00064871,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025427,           0.0063204,          0.00098379,             0.95202,             0.96033,             0.98088,             0.66029,            0.024481,           0.0061095,           0.0007992,            0.005545,            0.005545,            0.005545
                  92,            0.025276,           0.0063801,          0.00089004,             0.97375,              0.9774,             0.98931,             0.69159,            0.022672,           0.0056475,          0.00046543,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025203,           0.0063211,          0.00080604,             0.95809,             0.96473,              0.9806,             0.66808,            0.024123,           0.0060813,          0.00068434,            0.005446,            0.005446,            0.005446
                  94,            0.025294,           0.0063844,          0.00093227,             0.95623,             0.98469,             0.98561,             0.68191,            0.023072,           0.0056861,          0.00048668,           0.0053965,           0.0053965,           0.0053965
                  95,            0.025063,           0.0063198,          0.00078017,             0.96924,             0.97712,              0.9873,             0.70218,            0.022777,           0.0056222,          0.00050462,            0.005347,            0.005347,            0.005347
                  96,            0.024956,           0.0062735,          0.00089292,             0.97371,             0.98498,              0.9885,               0.697,            0.022541,           0.0056115,          0.00044572,           0.0052975,           0.0052975,           0.0052975
                  97,            0.024888,           0.0062658,          0.00078803,             0.97164,             0.98134,             0.98696,             0.70002,            0.022658,           0.0056548,          0.00052708,            0.005248,            0.005248,            0.005248
                  98,            0.024643,           0.0060818,           0.0007674,             0.96015,             0.96778,             0.97661,             0.67424,            0.023189,           0.0057619,          0.00048402,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024932,           0.0063903,          0.00068108,             0.97387,             0.98808,             0.98996,             0.70546,            0.021626,           0.0054125,          0.00044062,            0.005149,            0.005149,            0.005149
                 100,            0.024166,           0.0061302,          0.00073912,             0.97087,             0.98461,             0.99065,             0.69844,            0.022175,           0.0055435,           0.0003516,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024761,           0.0062205,          0.00084306,             0.97722,             0.98306,             0.98849,             0.68135,            0.022806,           0.0056677,          0.00045357,             0.00505,             0.00505,             0.00505
